"Serial No.","Dealer Credit Code","PPI_1(without QC)","PPI_1(with QC)","SLAB_1(without QC)","SLAB_1(with QC)"
1,0000113590,-,-,-,-
2,0000104761,-,-,200,-
3,0000115291,-,-,-,-
4,0000104842,-,-,-,-
5,0000104680,-,-,-,-
6,0000151174,-,-,-,-
7,0000104762,-,-,-,-
8,0000116264,-,-,-,-
9,0000104681,-,-,-,-
10,0000112862,-,-,-,-
11,0000114644,-,-,-,-
12,0000115373,-,-,-,-
13,0000104763,1800,-,400,-
14,0000104682,-,-,-,-
15,0000113835,-,-,-,-
16,0000104764,-,-,-,-
17,0000115375,-,-,-,-
18,0000104845,-,-,-,-
19,0000116266,-,-,-,-
20,0000114646,900,-,400,-
21,0000104683,-,-,-,-
22,0000113836,-,-,-,-
23,0000112783,450,-,400,-
24,0000104765,450,-,100,-
25,0000115295,-,-,-,-
26,0000113837,-,-,-,-
27,0000113918,3600,-,-,-
28,0000104684,450,-,400,-
29,0000114566,450,-,-,-
30,0000104846,-,-,-,-
31,0000114567,-,-,100,-
32,0000116268,-,-,-,-
33,0000113838,-,-,-,-
34,0000113919,-,-,-,-
35,0000104766,900,-,400,-
36,0000113839,-,-,-,-
37,0000104848,-,-,100,-
38,0000114649,-,-,-,-
39,0000112867,-,-,-,-
40,0000116188,-,-,-,-
41,0000112948,-,-,-,-
42,0000113678,900,-,-,-
43,0000104687,-,-,-,-
44,0000113597,1800,-,200,-
45,0000104768,-,-,-,-
46,0000104849,-,-,-,-
47,0000112787,450,-,400,-
48,0000112788,-,-,-,-
49,0000104769,-,-,-,-
50,0000104689,-,-,-,-
51,0000177395,-,-,-,-
52,0000105900,-,-,-,-
53,0000105901,-,-,-,-
54,0000105902,-,-,-,-
55,0000116270,-,-,-,-
56,0000113840,-,-,-,-
57,0000171108,-,-,-,-
58,0000105903,-,-,-,-
59,0000113841,450,-,400,-
60,0000104850,-,-,-,-
61,0000104770,-,-,100,-
62,0000105904,-,-,-,-
63,0000114733,-,-,-,-
64,0000116273,-,-,100,-
65,0000104852,-,-,-,-
66,0000105905,450,-,400,-
67,0000104771,-,-,-,-
68,0000112871,450,-,400,-
69,0000114572,1800,-,400,-
70,0000104772,-,-,-,-
71,0000104691,-,-,-,-
72,0000114573,-,-,200,-
73,0000105906,-,-,-,-
74,0000104853,-,-,-,-
75,0000114817,-,-,-,-
76,0000104773,-,-,-,-
77,0000104692,-,-,400,-
78,0000105907,-,-,-,-
79,0000113764,1800,-,400,-
80,0000115384,-,-,-,-
81,0000104693,-,-,-,-
82,0000105908,-,-,-,-
83,0000116195,-,-,-,-
84,0000112793,-,-,-,-
85,0000104855,-,-,-,-
86,0000104774,-,-,-,-
87,0000113766,450,-,100,-
88,0000105909,-,-,-,-
89,0000115386,-,-,-,-
90,0000104694,-,-,-,-
91,0000112794,-,-,-,-
92,0000112875,-,-,400,-
93,0000104856,3600,-,400,-
94,0000104775,-,-,-,-
95,0000104776,-,-,-,-
96,0000112876,-,-,-,-
97,0000104777,-,-,-,-
98,0000104696,-,-,-,-
99,0000337941,450,-,400,-
100,0000104778,-,-,-,-
101,0000113688,-,-,-,-
102,0000104779,-,-,-,-
103,0000177726,-,-,100,-
104,0000114742,-,-,-,-
105,0000104780,-,-,-,-
106,0000104781,-,-,-,-
107,0000213484,-,-,-,-
108,0000104782,-,-,200,-
109,0000151276,-,-,-,-
110,0000114745,-,-,-,-
111,0000113854,-,-,-,-
112,0000279302,-,-,-,-
113,0000151277,-,-,-,-
114,0000112964,-,-,-,-
115,0000104783,900,-,400,-
116,0000113855,-,-,-,-
117,0000114746,-,-,-,-
118,0000114908,-,-,-,-
119,0000114747,-,-,-,-
120,0000114748,-,-,-,-
121,0000104788,-,-,-,-
122,0000104789,-,-,-,-
123,0000287328,-,-,400,-
124,0000114751,-,-,-,-
125,0000231473,-,-,-,-
126,0000161246,-,-,400,-
127,0000104790,-,-,-,-
128,0000104791,-,-,200,-
129,0000114916,-,-,-,-
130,0000104792,-,-,-,-
131,0000114755,-,-,-,-
132,0000104793,-,-,-,-
133,0000112974,-,-,-,-
134,0000287332,-,-,-,-
135,0000112975,-,-,-,-
136,0000356831,-,-,-,-
137,0000113867,-,-,-,-
138,0000195560,-,-,-,-
139,0000356670,-,-,-,-
140,0000287335,-,-,-,-
141,0000114598,-,-,-,-
142,0000112979,-,-,-,-
143,0000279319,-,-,-,-
144,0000176699,-,-,100,-
145,0000155014,900,-,200,-
146,0000114922,-,-,-,-
147,0000114923,-,-,-,-
148,0000113870,1800,-,-,-
149,0000114924,-,-,100,-
150,0000331276,450,-,100,-
151,0000222736,-,-,-,-
152,0000230755,-,-,-,-
153,0000114925,-,-,-,-
154,0000114926,-,-,-,-
155,0000114765,-,-,-,-
156,0000113875,-,-,-,-
157,0000112985,-,-,-,-
158,0000284832,900,-,100,-
159,0000105858,-,-,-,-
160,0000284833,-,-,-,-
161,0000105859,-,-,-,-
162,0000112987,-,-,-,-
163,0000112988,450,-,-,-
164,0000177596,6000,-,200,-
165,0000319999,900,-,200,-
166,0000334116,900,-,400,-
167,0000231652,-,-,400,-
168,0000231653,-,-,-,-
169,0000114932,-,-,-,-
170,0000105860,900,-,-,-
171,0000105861,-,-,-,-
172,0000330556,-,-,400,-
173,0000114772,-,-,-,-
174,0000105862,-,-,100,-
175,0000105863,-,-,-,-
176,0000113882,-,-,-,-
177,0000230766,-,-,-,-
178,0000105865,-,-,-,-
179,0000114775,-,-,-,-
180,0000105866,-,-,-,-
181,0000339921,-,-,400,-
182,0000112995,1800,-,400,-
