"Serial No.","Dealer Credit Code","newPpi_1(without QC)","newPpi_1(with QC)"
1220,0000107754,825,-
1221,0000107755,-,-
1222,0000100612,-,-
1223,0000148458,-,-
1224,0000149268,-,-
1225,0000285172,-,-
1226,0000469461,-,-
1227,0000100653,-,-
1228,0000196423,-,-
1229,0000107651,-,-
1230,0000108028,-,-
1231,0000100607,-,-
1232,0000107400,-,-
1233,0000109238,-,-
1234,0000300621,200,-
1235,0000166296,-,-
1236,0000331219,-,-
1237,0000100670,-,-
1238,0000107065,-,-
1239,0000100701,6750,-
1240,0000107363,1150,-
1241,0000107692,-,-
1242,0000103500,-,-
1243,0000107387,-,-
1244,0000231163,-,-
1245,0000100856,-,-
1246,0000108051,-,-
1247,0000107738,-,-
1248,0000103502,-,-
1249,0000278981,-,-
1250,0000108537,-,-
1251,0000109203,-,-
1252,0000115400,-,-
1253,0000162791,-,-
1254,0000103546,1150,-
1255,0000100783,-,-
1256,0000100579,-,-
1257,0000100631,-,-
1258,0000326367,-,-
1259,0000107810,-,-
1260,0000320693,-,-
1261,0000108830,-,-
1262,0000108946,-,-
1263,0000266093,-,-
1264,0000100626,-,-
1265,0000108193,425,-
1266,0000108141,-,-
1267,0000103519,-,-
1268,0000163458,-,-
1269,0000108195,-,-
1270,0000108338,-,-
1271,0000107606,-,-
1272,0000451963,-,-
1273,0000108568,-,-
1274,0000100605,-,-
1275,0000108512,-,-
1276,0000107153,825,-
1277,0000103492,100,-
1278,0000100638,825,-
1279,0000111131,-,-
1280,0000109227,-,-
1281,0000107525,-,-
1282,0000108353,825,-
1283,0000107879,-,-
1284,0000107892,-,-
1285,0000108819,-,-
1286,0000103550,-,-
1287,0000107980,425,-
1288,0000107370,100,-
1289,0000109253,425,-
1290,0000108965,-,-
1291,0000107624,-,-
1292,0000100685,-,-
1293,0000100696,-,-
1294,0000103506,-,-
1295,0000279300,-,-
1296,0000108839,-,-
1297,0000107884,-,-
1298,0000282461,-,-
1299,0000100853,-,-
1300,0000108815,-,-
1301,0000109029,-,-
1302,0000115984,100,-
1303,0000100716,-,-
1304,0000103516,-,-
1305,0000178257,-,-
1306,0000342734,-,-
1307,0000103493,-,-
1308,0000100538,-,-
1309,0000467474,-,-
1310,0000348161,425,-
1311,0000106932,-,-
1312,0000156320,-,-
