"Serial No.","Dealer Credit Code","newPpi_1(without QC)","newPpi_1(with QC)"
287,0000109239,-,-
288,0000107269,-,-
289,0000100457,-,-
290,0000100689,-,-
291,0000286254,-,-
292,0000108756,-,-
293,0000322729,425,-
294,0000284815,100,-
295,0000107054,-,-
296,0000100559,100,-
297,0000100528,825,-
298,0000108362,-,-
299,0000111122,-,-
300,0000103536,-,-
301,0000107538,200,-
302,0000107313,-,-
303,0000108727,-,-
304,0000103537,-,-
305,0000107973,-,-
306,0000107058,-,-
307,0000100617,425,-
308,0000108964,-,-
309,0000107673,-,-
310,0000464167,-,-
311,0000107761,-,-
312,0000198562,-,-
313,0000107859,-,-
314,0000108029,-,-
315,0000109170,-,-
316,0000161287,-,-
317,0000107702,-,-
318,0000323143,425,-
319,0000266214,-,-
320,0000109075,-,-
321,0000108248,-,-
322,0000103526,-,-
323,0000154644,1150,-
324,0000107281,-,-
325,0000100569,-,-
326,0000100640,-,-
327,0000229485,-,-
328,0000103554,5400,-
329,0000107848,-,-
330,0000115405,-,-
331,0000100618,825,-
332,0000107837,200,-
333,0000155493,200,-
334,0000109065,-,-
335,0000107697,-,-
336,0000196157,-,-
337,0000100639,-,-
338,0000109171,-,-
339,0000100858,-,-
340,0000100891,100,-
341,0000107040,-,-
342,0000335708,-,-
343,0000107351,-,-
344,0000103557,-,-
345,0000107050,1150,-
346,0000108255,-,-
347,0000471866,-,-
348,0000108966,-,-
349,0000100657,-,-
350,0000157317,-,-
351,0000466165,200,-
352,0000108178,-,-
353,0000107672,-,-
354,0000100643,-,-
355,0000107541,-,-
356,0000100533,-,-
357,0000194412,-,-
358,0000107271,-,-
359,0000108874,-,-
360,0000106958,-,-
361,0000108971,-,-
362,0000108590,-,-
363,0000163459,-,-
364,0000287084,-,-
365,0000100889,-,-
366,0000451998,-,-
367,0000108142,-,-
368,0000107029,1150,-
369,0000107427,-,-
370,0000108194,-,-
371,0000194296,-,-
372,0000107545,-,-
373,0000100634,200,-
374,0000107593,1150,-
375,0000108633,-,-
376,0000108603,-,-
