"Serial No.","Dealer Credit Code","PPI_1(without QC)","PPI_1(with QC)","SLAB_1(without QC)","SLAB_1(with QC)"
1,0000115163,-,-,-,-
2,0000104633,-,-,-,-
3,0000104634,-,-,-,-
4,0000114435,450,-,-,-
5,0000115164,-,-,-,-
6,0000114436,-,-,-,-
7,0000115327,-,-,-,-
8,0000104635,-,-,-,-
9,0000112816,-,-,-,-
10,0000113545,-,-,-,-
11,0000115328,-,-,400,-
12,0000220628,450,-,400,-
13,0000112818,900,-,400,-
14,0000113385,-,-,-,-
15,0000114276,-,-,-,-
16,0000113386,450,-,-,-
17,0000104638,-,-,-,-
18,0000115168,-,-,-,-
19,0000115169,-,-,-,-
20,0000113387,-,-,-,-
21,0000104639,450,-,100,-
22,0000357409,-,-,-,-
23,0000148593,-,-,-,-
24,0000148594,-,-,-,-
25,0000148596,-,-,-,-
26,0000299950,-,-,-,-
27,0000299795,-,-,-,-
28,0000114601,-,-,-,-
29,0000115331,900,-,200,-
30,0000232214,-,-,-,-
31,0000115170,-,-,100,-
32,0000104640,-,-,-,-
33,0000112821,-,-,-,-
34,0000104641,-,-,-,-
35,0000115171,-,-,-,-
36,0000116224,-,-,-,-
37,0000114442,-,-,-,-
38,0000104804,-,-,-,-
39,0000104642,-,-,-,-
40,0000104805,-,-,-,-
41,0000113553,-,-,-,-
42,0000104643,450,-,200,-
43,0000115173,-,-,-,-
44,0000114282,-,-,100,-
45,0000104644,-,-,-,-
46,0000113554,-,-,-,-
47,0000222257,-,-,-,-
48,0000116228,-,-,-,-
49,0000104645,-,-,-,-
50,0000113555,-,-,-,-
51,0000115337,-,-,-,-
52,0000114447,-,-,200,-
53,0000104646,900,-,-,-
54,0000113394,-,-,-,-
55,0000104647,-,-,-,-
56,0000113719,-,-,-,-
57,0000114287,-,-,-,-
58,0000115178,-,-,-,-
59,0000104648,-,-,-,-
60,0000104649,-,-,200,-
61,0000113559,-,-,200,-
62,0000113397,-,-,-,-
63,0000113399,-,-,-,-
64,0000182782,-,-,-,-
65,0000182783,450,-,100,-
66,0000354746,-,-,-,-
67,0000165856,-,-,-,-
68,0000224202,-,-,-,-
69,0000116230,-,-,-,-
70,0000113720,-,-,-,-
71,0000112830,-,-,-,-
72,0000114612,-,-,-,-
73,0000116233,-,-,-,-
74,0000113560,-,-,-,-
75,0000104650,450,-,400,-
76,0000112831,-,-,-,-
77,0000161108,-,-,100,-
78,0000104651,450,-,100,-
79,0000112832,-,-,-,-
80,0000113561,-,-,-,-
81,0000161109,-,-,-,-
82,0000104814,-,-,-,-
83,0000113563,-,-,100,-
84,0000116236,-,-,-,-
85,0000104653,-,-,-,-
86,0000112835,-,-,200,-
87,0000116237,-,-,-,-
88,0000104655,-,-,-,-
89,0000259411,-,-,-,-
90,0000300676,-,-,-,-
91,0000116239,-,-,-,-
92,0000104656,-,-,-,-
93,0000104819,-,-,-,-
94,0000104657,-,-,-,-
95,0000104658,-,-,-,-
96,0000104659,-,-,-,-
97,0000113569,-,-,-,-
98,0000347625,-,-,-,-
99,0000455274,-,-,-,-
100,0000291493,-,-,-,-
101,0000349248,-,-,400,-
102,0000229858,-,-,-,-
103,0000350000,-,-,-,-
104,0000161110,-,-,-,-
105,0000205341,-,-,-,-
106,0000116241,-,-,-,-
107,0000113730,-,-,-,-
108,0000104820,-,-,-,-
109,0000223162,-,-,-,-
110,0000115351,1800,-,400,-
111,0000104821,450,-,100,-
112,0000113731,900,-,400,-
113,0000114623,-,-,-,-
114,0000104660,-,-,-,-
115,0000116243,-,-,-,-
116,0000113570,-,-,-,-
117,0000104823,-,-,-,-
118,0000104661,-,-,-,-
119,0000104662,-,-,-,-
120,0000104824,-,-,-,-
121,0000112844,-,-,-,-
122,0000104825,-,-,-,-
123,0000104663,450,-,100,-
124,0000116246,-,-,-,-
125,0000231348,-,-,-,-
126,0000104826,-,-,-,-
127,0000104664,-,-,-,-
128,0000116247,-,-,-,-
129,0000116248,-,-,400,-
130,0000104827,-,-,-,-
131,0000104665,-,-,-,-
132,0000282911,-,-,-,-
133,0000104828,-,-,-,-
134,0000113576,-,-,-,-
135,0000104666,450,-,100,-
136,0000113738,-,-,-,-
137,0000115358,-,-,-,-
138,0000282912,450,-,200,-
139,0000114468,-,-,400,-
140,0000115359,-,-,100,-
141,0000104829,900,-,200,-
142,0000104667,1800,-,400,-
143,0000115199,450,-,-,-
