"Serial No.","Dealer Credit Code","PPI_1(without QC)","PPI_1(with QC)","SLAB_1(without QC)","SLAB_1(with QC)"
209,0000300210,900,-,400,-
210,0000113102,3600,-,400,-
211,0000113103,-,-,-,-
212,0000300052,-,-,-,-
213,0000113104,-,-,-,-
214,0000460326,-,-,-,-
215,0000165081,-,-,-,-
216,0000165082,-,-,-,-
217,0000253453,-,-,-,-
218,0000333647,-,-,-,-
219,0000289713,-,-,400,-
220,0000114008,-,-,-,-
221,0000283022,-,-,-,-
222,0000345231,-,-,-,-
223,0000166141,-,-,100,-
224,0000283026,1800,-,-,-
225,0000460338,-,-,-,-
226,0000229083,-,-,400,-
227,0000323696,-,-,-,-
228,0000154569,-,-,-,-
229,0000457964,-,-,400,-
230,0000113120,900,-,400,-
231,0000105101,-,-,-,-
232,0000113121,-,-,-,-
233,0000113124,-,-,-,-
234,0000300073,450,-,-,-
235,0000300236,-,-,-,-
236,0000113126,-,-,-,-
237,0000113127,-,-,-,-
238,0000281411,-,-,400,-
239,0000347022,900,-,400,-
240,0000283037,-,-,-,-
241,0000442367,-,-,-,-
242,0000154579,-,-,-,-
243,0000320006,-,-,-,-
244,0000114026,-,-,-,-
245,0000283205,-,-,400,-
246,0000460192,-,-,-,-
247,0000166162,450,-,400,-
248,0000341690,-,-,-,-
249,0000318365,-,-,-,-
250,0000460197,-,-,-,-
251,0000325495,-,-,-,-
252,0000459764,-,-,-,-
253,0000114030,-,-,-,-
254,0000113140,-,-,400,-
255,0000113143,-,-,-,-
256,0000113144,900,-,400,-
257,0000114036,-,-,-,-
258,0000113307,-,-,-,-
259,0000114037,-,-,100,-
260,0000113147,-,-,-,-
261,0000114038,-,-,400,-
262,0000114039,-,-,-,-
263,0000113148,-,-,-,-
264,0000271631,-,-,-,-
265,0000346315,-,-,-,-
266,0000156370,-,-,-,-
267,0000281272,-,-,100,-
268,0000360578,-,-,-,-
269,0000166179,-,-,-,-
270,0000288864,-,-,400,-
271,0000114040,-,-,-,-
272,0000114041,450,-,400,-
273,0000113313,-,-,-,-
274,0000113151,-,-,-,-
275,0000114205,-,-,-,-
276,0000113153,-,-,-,-
277,0000114044,-,-,-,-
278,0000211326,-,-,-,-
279,0000114049,900,-,-,-
280,0000113158,-,-,-,-
281,0000271801,-,-,-,-
282,0000463043,-,-,-,-
283,0000113159,-,-,-,-
284,0000281604,-,-,-,-
285,0000166180,-,-,-,-
286,0000154761,-,-,-,-
287,0000452519,-,-,-,-
288,0000326726,-,-,-,-
289,0000149417,-,-,-,-
290,0000252935,-,-,-,-
291,0000219809,-,-,-,-
292,0000180767,450,-,200,-
293,0000199774,-,-,-,-
294,0000199775,-,-,-,-
295,0000115102,-,-,-,-
296,0000114211,-,-,-,-
297,0000113322,-,-,-,-
298,0000113160,-,-,-,-
299,0000113325,-,-,400,-
300,0000113164,-,-,-,-
301,0000115108,3600,-,400,-
302,0000115109,-,-,-,-
303,0000113329,-,-,-,-
304,0000327620,1800,-,200,-
305,0000290522,-,-,-,-
306,0000114059,-,-,-,-
307,0000290523,900,-,400,-
308,0000270760,-,-,-,-
309,0000281616,-,-,-,-
310,0000343663,-,-,-,-
311,0000281618,-,-,-,-
312,0000155664,450,-,200,-
313,0000165466,450,-,100,-
314,0000115110,-,-,-,-
315,0000115112,-,-,-,-
316,0000115113,450,-,400,-
317,0000114222,-,-,-,-
318,0000115114,-,-,-,-
319,0000113332,-,-,-,-
320,0000115115,-,-,-,-
321,0000114224,-,-,-,-
322,0000114063,-,-,400,-
323,0000113173,-,-,-,-
324,0000115117,-,-,-,-
325,0000115118,-,-,-,-
326,0000113174,-,-,-,-
327,0000114227,-,-,-,-
328,0000115119,3600,-,200,-
329,0000114228,-,-,-,-
330,0000357031,-,-,-,-
331,0000114068,-,-,-,-
332,0000113178,-,-,-,-
333,0000443462,-,-,-,-
334,0000357035,900,-,400,-
335,0000346505,450,-,400,-
336,0000335813,900,-,200,-
337,0000157452,-,-,-,-
338,0000462337,-,-,-,-
339,0000338165,-,-,-,-
340,0000149436,-,-,-,-
341,0000149437,-,-,-,-
342,0000136964,-,-,-,-
343,0000149438,-,-,-,-
344,0000136965,450,-,400,-
345,0000199796,-,-,-,-
346,0000115120,-,-,-,-
347,0000113503,-,-,400,-
348,0000114071,-,-,-,-
349,0000115124,-,-,-,-
350,0000115125,-,-,-,-
351,0000114235,-,-,-,-
352,0000113182,900,-,400,-
353,0000115127,-,-,-,-
354,0000114236,-,-,-,-
355,0000113183,-,-,400,-
356,0000113184,450,-,200,-
357,0000114075,-,-,-,-
358,0000114238,-,-,-,-
359,0000355421,900,-,400,-
360,0000113186,-,-,-,-
361,0000149440,-,-,-,-
362,0000354533,-,-,-,-
363,0000113189,-,-,-,-
364,0000149441,-,-,-,-
365,0000149442,-,-,-,-
366,0000177225,-,-,-,-
367,0000319624,-,-,-,-
368,0000194317,-,-,100,-
369,0000264707,900,-,-,-
370,0000149447,-,-,-,-
371,0000165809,-,-,-,-
372,0000150200,-,-,400,-
373,0000150201,-,-,-,-
374,0000114402,-,-,-,-
375,0000214033,-,-,-,-
376,0000114080,-,-,-,-
377,0000115133,-,-,-,-
378,0000113190,-,-,-,-
379,0000115135,-,-,-,-
380,0000114082,-,-,-,-
381,0000113191,-,-,-,-
382,0000114408,-,-,-,-
383,0000114409,-,-,-,-
384,0000115138,-,-,-,-
385,0000113356,900,-,400,-
386,0000337611,450,-,-,-
387,0000149452,-,-,-,-
388,0000165814,-,-,-,-
389,0000149453,-,-,-,-
390,0000264716,1800,-,400,-
391,0000154962,-,-,-,-
392,0000149454,-,-,-,-
393,0000165816,900,-,200,-
394,0000443485,-,-,-,-
395,0000327655,-,-,100,-
396,0000154963,-,-,-,-
397,0000149457,-,-,-,-
398,0000149458,-,-,-,-
399,0000290399,-,-,-,-
400,0000115141,-,-,-,-
401,0000115142,-,-,-,-
402,0000114090,-,-,400,-
403,0000113361,-,-,-,-
404,0000115143,-,-,-,-
405,0000114415,-,-,-,-
406,0000114253,-,-,-,-
407,0000113363,-,-,-,-
408,0000114254,450,-,400,-
409,0000114093,900,-,-,-
410,0000115309,-,-,-,-
411,0000114256,-,-,-,-
412,0000222229,-,-,-,-
413,0000114257,-,-,-,-
414,0000104618,-,-,-,-
415,0000113366,-,-,-,-
416,0000293231,-,-,-,-
417,0000104619,-,-,-,-
418,0000359005,-,-,-,-
419,0000355605,-,-,-,-
420,0000459996,-,-,-,-
421,0000222230,-,-,-,-
422,0000116202,-,-,-,-
423,0000304041,900,-,400,-
424,0000115150,-,-,-,-
425,0000104621,900,-,400,-
426,0000116204,-,-,-,-
427,0000114261,-,-,-,-
428,0000104622,-,-,-,-
429,0000116205,-,-,-,-
430,0000113370,-,-,-,-
431,0000113371,-,-,-,-
432,0000104623,-,-,-,-
433,0000116207,-,-,-,-
434,0000220616,-,-,-,-
435,0000115317,-,-,-,-
436,0000104625,-,-,-,-
437,0000104626,-,-,-,-
438,0000113536,-,-,-,-
439,0000112807,-,-,-,-
440,0000115319,-,-,-,-
441,0000104627,-,-,-,-
442,0000113537,-,-,-,-
443,0000115158,-,-,-,-
444,0000113376,-,-,-,-
445,0000104628,450,-,400,-
446,0000115159,-,-,-,-
447,0000104629,-,-,400,-
448,0000113378,-,-,-,-
449,0000293405,-,-,-,-
450,0000174906,-,-,-,-
451,0000194188,-,-,-,-
452,0000116210,-,-,-,-
453,0000116212,-,-,-,-
454,0000116214,-,-,-,-
455,0000104631,-,-,400,-
456,0000116215,-,-,-,-
457,0000115162,-,-,-,-
458,0000113380,-,-,-,-
459,0000104632,-,-,-,-
460,0000115324,-,-,-,-
461,0000115163,-,-,-,-
462,0000104633,-,-,-,-
463,0000104634,-,-,-,-
464,0000114435,450,-,100,-
465,0000115164,-,-,-,-
466,0000114436,-,-,-,-
467,0000115327,-,-,-,-
468,0000104635,-,-,-,-
